,date,actions
161,2019-07-16,[13]
162,2019-07-17,[-33]
163,2019-07-18,[50]
164,2019-07-19,[65]
165,2019-07-22,[55]
166,2019-07-23,[-3]
167,2019-07-24,[-3]
168,2019-07-25,[-35]
169,2019-07-26,[-35]
170,2019-07-29,[-42]
171,2019-07-30,[-85]
172,2019-07-31,[-100]
173,2019-08-01,[-100]
174,2019-08-02,[-100]
175,2019-08-05,[-100]
176,2019-08-06,[-100]
177,2019-08-07,[-100]
178,2019-08-08,[-100]
179,2019-08-09,[-100]
180,2019-08-12,[-79]
181,2019-08-13,[-96]
182,2019-08-14,[-61]
183,2019-08-15,[-51]
184,2019-08-16,[-90]
185,2019-08-19,[-100]
186,2019-08-20,[-76]
187,2019-08-21,[-82]
188,2019-08-22,[-73]
189,2019-08-23,[5]
190,2019-08-26,[10]
191,2019-08-27,[7]
192,2019-08-28,[-14]
193,2019-08-29,[-61]
194,2019-08-30,[-60]
195,2019-09-03,[-34]
196,2019-09-04,[-61]
197,2019-09-05,[-44]
198,2019-09-06,[-34]
199,2019-09-09,[-17]
200,2019-09-10,[7]
201,2019-09-11,[7]
202,2019-09-12,[-12]
203,2019-09-13,[-3]
204,2019-09-16,[-22]
205,2019-09-17,[-58]
206,2019-09-18,[-64]
207,2019-09-19,[-25]
208,2019-09-20,[-40]
209,2019-09-23,[-74]
210,2019-09-24,[-65]
211,2019-09-25,[-62]
212,2019-09-26,[-63]
213,2019-09-27,[-44]
214,2019-09-30,[-31]
215,2019-10-01,[-18]
216,2019-10-02,[-93]
217,2019-10-03,[-100]
218,2019-10-04,[-100]
219,2019-10-07,[-100]
220,2019-10-08,[-100]
221,2019-10-09,[-100]
222,2019-10-10,[-100]
223,2019-10-11,[-70]
224,2019-10-14,[-100]
225,2019-10-15,[-77]
226,2019-10-16,[-89]
227,2019-10-17,[-85]
228,2019-10-18,[-64]
229,2019-10-21,[-30]
230,2019-10-22,[-31]
231,2019-10-23,[-26]
232,2019-10-24,[-22]
233,2019-10-25,[-31]
234,2019-10-28,[-35]
235,2019-10-29,[5]
236,2019-10-30,[9]
237,2019-10-31,[20]
238,2019-11-01,[14]
239,2019-11-04,[-31]
240,2019-11-05,[-42]
241,2019-11-06,[-42]
242,2019-11-07,[-32]
243,2019-11-08,[-17]
244,2019-11-11,[14]
245,2019-11-12,[16]
246,2019-11-13,[41]
247,2019-11-14,[49]
248,2019-11-15,[27]
249,2019-11-18,[39]
250,2019-11-19,[16]
251,2019-11-20,[48]
252,2019-11-21,[45]
253,2019-11-22,[32]
254,2019-11-25,[-2]
255,2019-11-26,[0]
256,2019-11-27,[25]
257,2019-11-29,[29]
258,2019-12-02,[38]
259,2019-12-03,[58]
260,2019-12-04,[29]
261,2019-12-05,[35]
262,2019-12-06,[23]
263,2019-12-09,[9]
264,2019-12-10,[6]
265,2019-12-11,[6]
266,2019-12-12,[-9]
267,2019-12-13,[-7]
268,2019-12-16,[-12]
269,2019-12-17,[-7]
270,2019-12-18,[-10]
271,2019-12-19,[-8]
272,2019-12-20,[68]
273,2019-12-23,[68]
274,2019-12-24,[44]
275,2019-12-26,[43]
276,2019-12-27,[61]
277,2019-12-30,[14]
278,2019-12-31,[11]
279,2020-01-02,[27]
280,2020-01-03,[-1]
281,2020-01-06,[1]
282,2020-01-07,[-16]
283,2020-01-08,[21]
284,2020-01-09,[64]
285,2020-01-10,[98]
286,2020-01-13,[33]
287,2020-01-14,[47]
288,2020-01-15,[70]
289,2020-01-16,[73]
290,2020-01-17,[30]
291,2020-01-21,[60]
292,2020-01-22,[100]
293,2020-01-23,[100]
294,2020-01-24,[72]
295,2020-01-27,[-8]
296,2020-01-28,[-6]
297,2020-01-29,[-39]
298,2020-01-30,[-67]
299,2020-01-31,[10]
300,2020-02-03,[37]
301,2020-02-04,[39]
302,2020-02-05,[60]
303,2020-02-06,[49]
304,2020-02-07,[-10]
305,2020-02-10,[-53]
306,2020-02-11,[-55]
307,2020-02-12,[-71]
308,2020-02-13,[-82]
309,2020-02-14,[-100]
310,2020-02-18,[-100]
311,2020-02-19,[-100]
312,2020-02-20,[-100]
313,2020-02-21,[-100]
314,2020-02-24,[-100]
315,2020-02-25,[-100]
316,2020-02-26,[-100]
317,2020-02-27,[-100]
318,2020-02-28,[-59]
319,2020-03-02,[-100]
320,2020-03-03,[-100]
321,2020-03-04,[-100]
322,2020-03-05,[-86]
323,2020-03-06,[-41]
324,2020-03-09,[50]
325,2020-03-10,[1]
326,2020-03-11,[46]
327,2020-03-12,[100]
328,2020-03-13,[100]
329,2020-03-16,[100]
330,2020-03-17,[100]
331,2020-03-18,[100]
332,2020-03-19,[100]
333,2020-03-20,[100]
334,2020-03-23,[100]
335,2020-03-24,[100]
336,2020-03-25,[100]
337,2020-03-26,[100]
338,2020-03-27,[100]
339,2020-03-30,[100]
340,2020-03-31,[100]
341,2020-04-01,[100]
342,2020-04-02,[100]
343,2020-04-03,[100]
344,2020-04-06,[100]
345,2020-04-07,[100]
346,2020-04-08,[100]
347,2020-04-09,[100]
348,2020-04-13,[100]
349,2020-04-14,[100]
350,2020-04-15,[100]
351,2020-04-16,[100]
352,2020-04-17,[100]
353,2020-04-20,[100]
354,2020-04-21,[100]
355,2020-04-22,[100]
356,2020-04-23,[100]
357,2020-04-24,[100]
358,2020-04-27,[100]
359,2020-04-28,[100]
360,2020-04-29,[100]
361,2020-04-30,[100]
362,2020-05-01,[100]
363,2020-05-04,[100]
364,2020-05-05,[100]
365,2020-05-06,[100]
366,2020-05-07,[100]
367,2020-05-08,[100]
368,2020-05-11,[100]
369,2020-05-12,[100]
370,2020-05-13,[100]
371,2020-05-14,[100]
372,2020-05-15,[100]
373,2020-05-18,[100]
374,2020-05-19,[100]
375,2020-05-20,[100]
376,2020-05-21,[100]
377,2020-05-22,[100]
378,2020-05-26,[100]
379,2020-05-27,[100]
380,2020-05-28,[100]
381,2020-05-29,[100]
382,2020-06-01,[100]
383,2020-06-02,[100]
384,2020-06-03,[100]
385,2020-06-04,[100]
386,2020-06-05,[100]
387,2020-06-08,[100]
388,2020-06-09,[100]
389,2020-06-10,[100]
390,2020-06-11,[95]
391,2020-06-12,[70]
392,2020-06-15,[68]
393,2020-06-16,[8]
394,2020-06-17,[4]
395,2020-06-18,[7]
396,2020-06-19,[11]
397,2020-06-22,[-1]
398,2020-06-23,[14]
399,2020-06-24,[48]
400,2020-06-25,[26]
401,2020-06-26,[31]
402,2020-06-29,[13]
403,2020-06-30,[-3]
404,2020-07-01,[15]
405,2020-07-02,[12]
406,2020-07-06,[9]
407,2020-07-07,[48]
408,2020-07-08,[62]
409,2020-07-09,[88]
410,2020-07-10,[69]
411,2020-07-13,[34]
412,2020-07-14,[40]
413,2020-07-15,[32]
414,2020-07-16,[0]
415,2020-07-17,[0]
416,2020-07-20,[0]
417,2020-07-21,[0]
418,2020-07-22,[0]
419,2020-07-23,[0]
420,2020-07-24,[0]
421,2020-07-27,[0]
422,2020-07-28,[0]
423,2020-07-29,[0]
424,2020-07-30,[0]
425,2020-07-31,[0]
426,2020-08-03,[0]
427,2020-08-04,[0]
428,2020-08-05,[0]
429,2020-08-06,[0]
430,2020-08-07,[-1]
431,2020-08-10,[1]
432,2020-08-11,[0]
433,2020-08-12,[0]
434,2020-08-13,[0]
435,2020-08-14,[-1]
436,2020-08-17,[0]
437,2020-08-18,[-8]
438,2020-08-19,[-25]
439,2020-08-20,[-46]
440,2020-08-21,[-63]
441,2020-08-24,[-9]
442,2020-08-25,[8]
443,2020-08-26,[-15]
444,2020-08-27,[-17]
445,2020-08-28,[-12]
446,2020-08-31,[-47]
447,2020-09-01,[-74]
