,date,open,high,low,close,volume,tic,day
861,2008-06-05,22.540000915527344,23.350000381469727,22.5,14.563944816589355,6664800,M,3
862,2008-06-06,22.760000228881836,23.34000015258789,22.059999465942383,13.88974666595459,7125400,M,4
863,2008-06-09,22.469999313354492,22.549999237060547,21.399999618530273,13.459012031555176,5602700,M,0
864,2008-06-10,21.280000686645508,22.079999923706055,21.079999923706055,13.702467918395996,8830900,M,1
865,2008-06-11,21.559999465942383,22.040000915527344,20.809999465942383,13.10141658782959,7317600,M,2
866,2008-06-12,21.190000534057617,21.770000457763672,20.959999084472656,13.38404655456543,5961500,M,3
867,2008-06-13,21.59000015258789,22.170000076293945,21.329999923706055,13.91789722442627,6995900,M,4
868,2008-06-16,22.149999618530273,22.600000381469727,21.709999084472656,14.0372314453125,6064600,M,0
869,2008-06-17,22.610000610351562,22.75,22.030000686645508,13.848814964294434,3880800,M,1
870,2008-06-18,21.889999389648438,21.979999542236328,20.899999618530273,13.201906204223633,7625400,M,2
871,2008-06-19,20.860000610351562,21.729999542236328,20.760000228881836,13.628989219665527,6134300,M,3
872,2008-06-20,21.59000015258789,21.59000015258789,20.809999465942383,13.132814407348633,7051500,M,4
873,2008-06-23,20.889999389648438,21.31999969482422,20.020000457763672,12.642928123474121,5452800,M,0
874,2008-06-24,20.0,20.15999984741211,19.18000030517578,12.184440612792969,12493300,M,1
875,2008-06-25,19.700000762939453,20.579999923706055,19.40999984741211,12.573838233947754,8966100,M,2
876,2008-06-26,19.520000457763672,19.8799991607666,19.360000610351562,12.234684944152832,6629400,M,3
877,2008-06-27,19.6200008392334,19.729999542236328,18.940000534057617,12.266092300415039,7527400,M,4
878,2008-06-30,19.270000457763672,20.18000030517578,18.979999542236328,12.197000503540039,10008700,M,0
879,2008-07-01,19.059999465942383,19.510000228881836,18.649999618530273,12.153040885925293,7268400,M,1
880,2008-07-02,19.540000915527344,19.959999084472656,18.670000076293945,11.826445579528809,8880200,M,2
881,2008-07-03,18.969999313354492,19.229999542236328,18.3799991607666,11.619183540344238,5544600,M,3
882,2008-07-07,18.739999771118164,19.190000534057617,18.110000610351562,11.669427871704102,11885600,M,0
883,2008-07-08,18.530000686645508,19.110000610351562,18.350000381469727,11.857845306396484,11154500,M,1
884,2008-07-09,19.149999618530273,19.149999618530273,17.989999771118164,11.330275535583496,7817800,M,2
885,2008-07-10,17.950000762939453,17.950000762939453,16.34000015258789,10.293971061706543,13852700,M,3
886,2008-07-11,16.079999923706055,16.239999771118164,14.329999923706055,9.785236358642578,23188200,M,4
887,2008-07-14,16.530000686645508,17.149999618530273,15.880000114440918,10.22488021850586,13663500,M,0
888,2008-07-15,16.18000030517578,16.559999465942383,15.029999732971191,9.992498397827148,15493300,M,1
889,2008-07-16,15.90999984741211,17.639999389648438,15.90999984741211,10.940873146057129,12485400,M,2
890,2008-07-17,17.600000381469727,18.549999237060547,16.8799991607666,11.568941116333008,11546900,M,3
891,2008-07-18,19.149999618530273,19.149999618530273,17.540000915527344,11.361679077148438,8108200,M,4
892,2008-07-21,18.200000762939453,18.5,17.540000915527344,11.129294395446777,4823400,M,0
893,2008-07-22,17.600000381469727,18.56999969482422,17.06999969482422,11.650588035583496,6652300,M,1
894,2008-07-23,18.350000381469727,19.809999465942383,18.25,12.027426719665527,9560000,M,2
895,2008-07-24,19.190000534057617,19.350000381469727,18.229999542236328,11.499855041503906,6082200,M,3
896,2008-07-25,18.420000076293945,19.049999237060547,17.979999542236328,11.349116325378418,5015900,M,4
897,2008-07-28,18.010000228881836,18.610000610351562,17.510000228881836,11.060206413269043,5548100,M,0
898,2008-07-29,17.530000686645508,18.690000534057617,17.520000457763672,11.669427871704102,7428000,M,1
899,2008-07-30,18.65999984741211,19.510000228881836,18.40999984741211,11.895530700683594,6440900,M,2
900,2008-07-31,18.489999771118164,19.3799991607666,18.34000015258789,11.813881874084473,5697400,M,3
901,2008-08-01,19.020000457763672,19.020000457763672,18.06999969482422,11.4119234085083,7083400,M,4
902,2008-08-04,18.030000686645508,18.239999771118164,17.59000015258789,11.236062049865723,7293300,M,0
903,2008-08-05,17.989999771118164,19.65999984741211,17.989999771118164,12.240971565246582,10621300,M,1
904,2008-08-06,19.559999465942383,19.790000915527344,18.889999389648438,12.360297203063965,6275000,M,2
905,2008-08-07,19.549999237060547,19.549999237060547,18.489999771118164,11.882969856262207,5705200,M,3
906,2008-08-08,18.559999465942383,20.90999984741211,18.540000915527344,13.019763946533203,8293200,M,4
907,2008-08-11,20.850000381469727,22.459999084472656,20.559999465942383,13.597585678100586,16694200,M,0
908,2008-08-12,21.40999984741211,21.579999923706055,19.8799991607666,12.73085880279541,11716700,M,1
909,2008-08-13,19.770000457763672,20.940000534057617,19.360000610351562,12.975800514221191,15380800,M,2
910,2008-08-14,20.780000686645508,22.149999618530273,20.440000534057617,13.327520370483398,12676400,M,3
911,2008-08-15,21.040000915527344,21.889999389648438,21.0,13.49709415435791,7597200,M,4
912,2008-08-18,21.68000030517578,22.329999923706055,21.25,13.704357147216797,9204000,M,0
913,2008-08-19,21.260000228881836,21.700000762939453,20.059999465942383,12.762259483337402,9558200,M,1
914,2008-08-20,19.799999237060547,20.360000610351562,19.479999542236328,12.354019165039062,10633800,M,2
915,2008-08-21,19.229999542236328,19.59000015258789,18.709999084472656,12.209564208984375,7182000,M,3
916,2008-08-22,19.68000030517578,20.200000762939453,19.510000228881836,12.642928123474121,5328100,M,4
917,2008-08-25,19.8700008392334,20.110000610351562,19.489999771118164,12.291214942932129,4142600,M,0
918,2008-08-26,19.690000534057617,19.850000381469727,19.049999237060547,12.24725341796875,4846900,M,1
919,2008-08-27,19.290000915527344,19.950000762939453,19.229999542236328,12.366583824157715,3589400,M,2
920,2008-08-28,19.8799991607666,20.649999618530273,19.829999923706055,12.969523429870605,5591600,M,3
921,2008-08-29,20.6299991607666,20.850000381469727,20.219999313354492,13.0762939453125,4997400,M,4
922,2008-09-02,20.969999313354492,22.31999969482422,20.969999313354492,13.578746795654297,9246300,M,1
923,2008-09-03,21.8700008392334,22.059999465942383,21.1299991607666,13.748320579528809,8083900,M,2
924,2008-09-04,21.829999923706055,21.829999923706055,20.670000076293945,12.994644165039062,7505500,M,3
925,2008-09-05,20.3799991607666,21.290000915527344,19.81999969482422,13.23958969116211,7913500,M,4
926,2008-09-08,22.079999923706055,22.479999542236328,21.5,14.056072235107422,10639200,M,0
927,2008-09-09,22.299999237060547,22.959999084472656,21.65999984741211,13.691795349121094,15946500,M,1
928,2008-09-10,22.209999084472656,22.209999084472656,21.18000030517578,13.74203872680664,8225000,M,2
929,2008-09-11,21.1200008392334,21.90999984741211,21.059999465942383,13.807119369506836,8214100,M,3
930,2008-09-12,21.540000915527344,21.639999389648438,20.329999923706055,13.149944305419922,10797200,M,4
931,2008-09-15,19.920000076293945,20.920000076293945,19.459999084472656,12.296873092651367,13485600,M,0
932,2008-09-16,18.940000534057617,20.479999542236328,18.489999771118164,12.745523452758789,12292000,M,1
