,Unnamed: 0,date,open,high,low,close,volume,tic,day
1619,1619,2017-06-09,145.31549072265625,147.47610473632812,145.2007598876953,112.19851684570312,4562129,IBM,4
1620,1620,2017-06-12,147.4091796875,150.28680419921875,147.2466583251953,112.98483276367188,6769189,IBM,0
1621,1621,2017-06-13,148.6042022705078,148.64244079589844,147.37094116210938,112.30769348144533,3685581,IBM,1
1622,1622,2017-06-14,147.1988525390625,148.12619018554688,146.21414184570312,111.98734283447266,3189359,IBM,2
1623,1623,2017-06-15,146.5487518310547,147.88719177246094,146.5487518310547,112.28587341308594,4868398,IBM,3
1624,1624,2017-06-16,147.44741821289062,148.5850830078125,146.24282836914062,113.13044738769533,7052132,IBM,4
1625,1625,2017-06-19,148.67112731933594,149.0057373046875,147.74378967285156,112.73728942871094,4842457,IBM,0
1626,1626,2017-06-20,147.68641662597656,148.55641174316406,147.46653747558594,112.81734466552734,4687858,IBM,1
1627,1627,2017-06-21,148.93881225585938,148.93881225585938,146.6443634033203,111.97276306152344,4141846,IBM,2
1628,1628,2017-06-22,147.7533416748047,148.1739959716797,146.93116760253906,112.41691589355467,2485819,IBM,3
1629,1629,2017-06-23,147.55258178710938,147.87762451171875,147.0363311767578,112.2057647705078,3433181,IBM,4
1630,1630,2017-06-26,147.90631103515625,148.90057373046875,147.829833984375,113.02124786376952,2252561,IBM,0
1631,1631,2017-06-27,148.18356323242188,148.50860595703125,147.70555114746094,112.6717529296875,2496279,IBM,1
1632,1632,2017-06-28,148.32696533203125,148.70936584472656,147.97323608398438,113.08678436279295,2323166,IBM,2
1633,1633,2017-06-29,148.51815795898438,148.89100646972656,146.86424255371094,112.22034454345705,3412261,IBM,3
1634,1634,2017-06-30,147.49522399902344,147.70555114746094,146.4053497314453,112.00189971923828,3735789,IBM,4
1635,1635,2017-07-03,146.8260040283203,149.1682586669922,146.76864624023438,113.27608489990234,2952335,IBM,0
1636,1636,2017-07-05,148.91969299316406,149.034423828125,146.87380981445312,111.88542938232422,3728362,IBM,2
1637,1637,2017-07-06,146.6156768798828,147.06500244140625,145.53536987304688,110.9316177368164,2884345,IBM,3
1638,1638,2017-07-07,145.90821838378906,146.73995971679688,145.44932556152344,111.35393524169922,2573265,IBM,4
1639,1639,2017-07-10,146.1854705810547,147.12237548828125,145.91778564453125,111.7033920288086,3353685,IBM,0
1640,1640,2017-07-11,146.52008056640625,146.89292907714844,145.36329650878906,111.5359344482422,3606085,IBM,1
1641,1641,2017-07-12,146.73040771484375,147.4569854736328,146.31930541992188,111.90728759765624,3240403,IBM,2
1642,1642,2017-07-13,146.9407196044922,147.4091796875,146.45315551757812,111.85630798339844,2590001,IBM,3
1643,1643,2017-07-14,147.23709106445312,147.8202667236328,146.65391540527344,112.30046844482422,3406194,IBM,4
1644,1644,2017-07-17,146.8355712890625,147.11280822753906,145.54493713378906,111.4049072265625,4981680,IBM,0
1645,1645,2017-07-18,145.65965270996094,147.50477600097656,145.31549072265625,112.1256866455078,7914873,IBM,1
1646,1646,2017-07-19,143.4225616455078,143.64244079589844,140.2581329345703,107.41496276855467,14951106,IBM,2
1647,1647,2017-07-20,141.0420684814453,142.28489685058594,140.56405639648438,107.50959777832033,7543961,IBM,3
1648,1648,2017-07-21,141.09942626953125,141.3671112060547,140.06692504882812,107.08734130859376,6808937,IBM,4
1649,1649,2017-07-24,140.53536987304688,140.5736083984375,139.3881378173828,106.29369354248048,4055970,IBM,0
